"decimalLongitude","decimalLatitude","spam"
-88.26778,16.83611,0
-88.25278,16.86444,0
-88.23222,16.84694,0
-88.22917,16.85028,0
-88.21194,16.8825,0
-88.1,16.75,0
-88.1,16.78,0
-88.09,16.81,0
-88.08,16.78,0
-88.08,16.79,0
-88.08,16.8,0
-88.08,16.81,0
-88.07,16.87,0
-87.833,18.2667,0
-87.83167,18.21917,0
-87.83083,18.22861,0
-87.82972,18.21083,0
-87.75536,18.50632,0
-87.75527,18.49838,0
-87.75413,18.50683,0
-87.75391,18.49862,0
-87.75268,18.50721,0
-87.75201,18.49862,0
-87.7503,18.51545,0
-87.74973,18.51528,0
-87.74777,18.51529,0
-87.72514,18.65633,0
-87.72232,18.66917,0
-87.72092,18.67402,0
-87.71944,18.66201,0
-87.71886,18.66802,0
-87.71826,18.67241,0
-87.71691,18.65767,0
-87.7167,18.66677,0
-87.71662,18.67918,0
-87.7149,18.67872,0
-87.71467,18.69453,0
-87.71367,18.67373,0
-87.71345,18.69692,0
-87.71301,18.68359,0
-87.71176,18.69546,0
-87.71154,18.70398,0
-87.70889,18,0
-87.70889,18.69237,0
-87.70771,18.70611,0
-87.70627,18.71423,0
-87.70543,18.71643,0
-87.70458,18.71345,0
-87.70455,18.71749,0
-87.70444,18.71139,0
-87.70376,18.71725,0
-87.70278,18.71028,0
-87.70222,18.71528,0
-87.70194,18.7125,0
-87.70055,18.715,0
-87.62361,18.90333,0
-87.53694,19.1375,0
-87.53611,19.14583,0
-87.53334,19.15416,0
-87.47422,20.04158,0
-87.47185,20.06849,0
-87.46867,20.0685,0
-87.46626,20.0685,0
-87.46601,20.05699,0
-87.46596,20.05647,0
-87.46557,20.04399,0
-87.46556,19.7675,0
-87.46511,20.04382,0
-87.46428,20.03156,0
-87.46336,20.03135,0
-87.46093,20.05495,0
-87.46014,19.96922,0
-87.45833,19.98639,0
-87.45554,19.96923,0
-87.45094,19.96924,0
-87.45,19.2833,0
-87.44659,19.79111,0
-87.43737,19.79114,0
-87.43546,19.79111,0
-87.42981,19.48697,0
-87.42605,19.87751,0
-87.42564,19.48698,0
-87.42294,19.48699,0
-87.4226,19.87754,0
-87.41934,19.87754,0
-87.41647,19.69842,0
-87.41074,19.69844,0
-87.40555,19.57867,0
-87.405,19.69845,0
-87.39986,19.57867,0
-87.39607,19.57868,0
-87.10982,20.58115,0
-87.10977,20.5812,0
-87.04858,20.64032,0
-87.02894,20.35815,0
-87.0286,20.3772,0
-87.0284,20.37833,0
-87.02721,20.36258,0
-87.02673,20.33612,0
-87.0267,20.39622,0
-87.01948,20.29854,0
-87.01667,20.61667,0
-87.01624,20.42251,0
-87.00302,20.43923,0
-87,18,0
-86.98365,20.46868,0
-86.98365,20.4687,0
-86.9824,20.46945,0
-86.9667,20.7333,0
-86.86667,20.86028,0
-86.8,21.0333,0
-86.5004,15.9945,0
-86.48333,15.95,0
-84.3079,20.64032,0
-82.94,24.62,0
-82.93333,8.5,0
-82.87,24.61,0
-82.86,24.62,0
-82.35,9.29,0
-82.34,9.24,0
-82.34,9.29,0
-82.33,9.24,0
-82.3,9.38,0
-82.29,9.3,0
-82.28,9.3,0
-82.27,9.36,0
-82.26,9.35,0
-82.23,9.34,0
-82.22284,9.365996,0
-82.22,9.33,0
-82.12,9.27,0
-82.11,9.23,0
-82.1,9.28,0
-81.745,12.4953,0
-81.74,12.4959,0
-81.738,12.5276,0
-81.7365,12.5441,0
-81.736,12.527,0
-81.7355,12.5491,0
-81.73,12.52,0
-81.73,12.5736,0
-81.72,12.59,0
-81.717,12.4912,0
-81.697,12.549,0
-81.6969,12.5306,0
-81.693,12.5652,0
-81.69,12.58,0
-81.69,12.59,0
-81.6895,12.585,0
-81.6837,12.5859,0
-81.68,12.58,0
-81.6756,12.5951,0
-81.6737,12.5531,0
-81.59139,3.976667,0
-81.42,13.38,0
-81.42,24.54,0
-81.41,13.33,0
-81.41,24.55,0
-81.4,13.36,0
-81.4,13.37,0
-81.4,13.4,0
-81.39,19.31,0
-81.38,13.39,0
-81.37,13.4,0
-81.37,13.46,0
-81.36,13.46,0
-81.34,13.37,0
-81.34,13.38,0
-81.24985,13.21428,0
-81.24271,13.21842,0
-81.24043,13.17715,0
-81.23966,13.23903,0
-81.23426,13.26544,0
-81.23199,13.24438,0
-81.2294,13.23217,0
-81.22526,13.18906,0
-81.21603,13.30196,0
-81.21255,13.18774,0
-81.20786,13.2882,0
-81.2065,13.23114,0
-81.20539,13.26835,0
-81.20398,13.22808,0
-81.20376,13.30417,0
-81.20037,13.26772,0
-81.19483,13.27194,0
-81.19368,13.2222,0
-81.18568,13.26543,0
-81.17619,13.30587,0
-81.16083,31.61083,0
-81.1275,31.47556,0
-81.11,24.62,0
-81.11,24.63,0
-81.09417,38.14111,0
-81.09,24.63,0
-81.06,24.69,0
-81.05,24.71,0
-81.03,24.69,0
-80.99972,31.60306,0
-80.97,24.68,0
-80.96,24.69,0
-80.93667,31.53,0
-80.93528,31.64528,0
-80.45833,24.95306,0
-80.41444,24.9875,0
-80.37083,25.01389,0
-80.37,14.31,0
-80.36,14.3,0
-80.28,14.36,0
-80.26,14.46,0
-80.24,14.46,0
-80.23,14.36,0
-80.22,14.35,0
-80.19,14.41,0
-80.11,26.05,0
-80.1,26.08,0
-80.1,26.14,0
-80.09,26.16,0
-80.07,26.25,0
-78.95,9.56,0
-78.91812,20.77495,0
-78.89,9.59,0
-78.88,9.58,0
-78.87,9.58,0
-78.8498,20.76025,0
-75.636944,34.362222,0
-75.63694,34.36222,0
-73.45,-39.85,0
-73.29,-41.81,0
-73.19,-36.75,0
-73.19,-36.74,0
-72.6,-42.16,0
-72.46,-42.39,0
-72.46,-42.34,0
-72.46,-42.32,0
-72.45,-42.27,0
-72.43,-42.37,0
-72.43,-42.26,0
-72.42,-42.41,0
-72.42,-42.38,0
-72.22,21.49,0
-72.19,21.82,0
-72.18,21.82,0
-71.7,-33.36,0
-71.69,-33.36,0
-71.68,-33.37,0
-71.67,-33.36,0
-71.64,-33.5,0
-71.63,-33.5,0
-69.16,12.38,0
-69.1,12.24,0
-69.09,12.22,0
-69,12.14,0
-68.95,12.11,0
-68.89,12.08,0
-68.8,12.04,0
-68.35,12.22,0
-68.33,12.21,0
-68.32,12.21,0
-68.31,12.2,0
-68.29,12.1,0
-68.29,12.11,0
-68.29,12.13,0
-68.28,12.06,0
-68.28,12.07,0
-68.26,12.03,0
-68.25,12.03,0
-65.06,-41.96,0
-65.06,-41.95,0
-65.06,-41.94,0
-64.8104,18.3395,0
-64.81037,18.34172,0
-64.8098,18.3317,0
-64.80901,18.33025,0
-64.80812,18.33205,0
-64.807,18.32745,0
-64.8062,18.3279,0
-64.80042,18.35505,0
-64.80023,18.32594,0
-64.80016,18.33195,0
-64.7995,18.3236,0
-64.79931,18.33258,0
-64.7991,18.3499,0
-64.79909,18.32948,0
-64.79899,18.35509,0
-64.79877,18.32459,0
-64.7982,18.3432,0
-64.7975,18.35,0
-64.79741,18.34383,0
-64.79657,18.32704,0
-64.7961,18.35567,0
-64.79561,18.35272,0
-64.79556,18.35415,0
-64.79516,18.3221,0
-64.79482,18.3549,0
-64.79456,18.31973,0
-64.79438,18.35126,0
-64.79408,18.34412,0
-64.79372,18.35843,0
-64.7937,18.356,0
-64.79288,18.31935,0
-64.79279,18.34721,0
-64.79278,18.32095,0
-64.79273,18.35888,0
-64.79225,18.31521,0
-64.7915,18.3543,0
-64.79126,18.34133,0
-64.79119,18.34163,0
-64.7901,18.35483,0
-64.78906,18.3138,0
-64.789,18.3574,0
-64.78789,18.34909,0
-64.78643,18.35609,0
-64.78582,18.31345,0
-64.7852,18.3586,0
-64.78505,18.35677,0
-64.78503,18.3499,0
-64.78426,18.31292,0
-64.78374,18.35241,0
-64.78365,18.35944,0
-64.78297,18.35765,0
-64.78234,18.34752,0
-64.78152,18.34802,0
-64.7814,18.31,0
-64.78117,18.35934,0
-64.77991,18.35989,0
-64.77981,18.31323,0
-64.77971,18.31158,0
-64.77956,18.36063,0
-64.77925,18.36211,0
-64.77919,18.31148,0
-64.77899,18.31221,0
-64.77896,18.35846,0
-64.77863,18.3589,0
-64.77848,18.36312,0
-64.77829,18.35402,0
-64.77735,18.35746,0
-64.77731,18.35436,0
-64.7773,18.31193,0
-64.77722,18.31208,0
-64.7771,18.3612,0
-64.77705,18.35382,0
-64.77701,18.36295,0
-64.77668,18.31079,0
-64.77654,18.35806,0
-64.77579,18.35293,0
-64.77555,18.36323,0
-64.77541,18.36144,0
-64.77505,18.36299,0
-64.7748,18.3578,0
-64.77471,18.36455,0
-64.77456,18.36059,0
-64.7745,18.36382,0
-64.77435,18.31627,0
-64.77403,18.31807,0
-64.7739,18.305,0
-64.77374,18.36473,0
-64.77314,18.35266,0
-64.77278,18.36408,0
-64.7726,18.3604,0
-64.77177,18.35841,0
-64.77162,18.36218,0
-64.7713,18.3601,0
-64.77087,18.35794,0
-64.77053,18.31593,0
-64.7705,18.3152,0
-64.77037,18.31221,0
-64.77036,18.31583,0
-64.77023,18.31309,0
-64.7701,18.35518,0
-64.76958,18.31688,0
-64.76945,18.31496,0
-64.76945,18.3153,0
-64.76945,18.31716,0
-64.76942,18.31465,0
-64.76924,18.31328,0
-64.76906,18.3143,0
-64.76862,18.36143,0
-64.7685,18.3106,0
-64.76842,18.35669,0
-64.7683,18.3054,0
-64.76813,18.31235,0
-64.76767,18.31463,0
-64.76763,18.35817,0
-64.76692,18.35634,0
-64.76681,18.35622,0
-64.76641,18.3604,0
-64.76534,18.31079,0
-64.76523,18.35788,0
-64.7649,18.31732,0
-64.7647,18.3116,0
-64.76447,18.36022,0
-64.76209,18.36121,0
-64.7619,18.3624,0
-64.76156,18.36234,0
-64.7614,18.3067,0
-64.7614,18.36129,0
-64.76121,18.31605,0
-64.76077,18.36144,0
-64.7606,18.31532,0
-64.76051,18.35356,0
-64.7603,18.36379,0
-64.76019,18.35602,0
-64.75996,18.37042,0
-64.75981,18.36871,0
-64.7598,18.3659,0
-64.7597,18.3633,0
-64.75927,18.35384,0
-64.7587,18.3118,0
-64.75827,18.36106,0
-64.75642,18.35897,0
-64.75634,18.3572,0
-64.75497,18.35767,0
-64.75478,18.3603,0
-64.75389,18.36052,0
-64.75366,18.31755,0
-64.75288,18.37117,0
-64.75281,18.37122,0
-64.75256,18.31776,0
-64.75156,18.37251,0
-64.75114,18.3681,0
-64.751,18.37314,0
-64.75054,18.29939,0
-64.7504,18.3132,0
-64.74967,18.3734,0
-64.74937,18.35932,0
-64.74729,18.3607,0
-64.74655,18.30416,0
-64.74589,18.30264,0
-64.74572,18.31511,0
-64.74483,18.36263,0
-64.7442,18.3202,0
-64.7441,18.3194,0
-64.74392,18.37356,0
-64.74308,18.31744,0
-64.74275,18.31573,0
-64.7412,18.3076,0
-64.74102,18.30817,0
-64.7406,18.31,0
-64.7392,18.31035,0
-64.73871,18.37291,0
-64.7386,18.3726,0
-64.73859,18.37216,0
-64.73756,18.37318,0
-64.73745,18.31582,0
-64.7363,18.372,0
-64.7346,18.3112,0
-64.73454,18.30506,0
-64.7343,18.31438,0
-64.734,18.3663,0
-64.73389,18.30107,0
-64.73384,18.36697,0
-64.73143,18.31694,0
-64.7314,18.318,0
-64.72849,18.36464,0
-64.72769,18.31805,0
-64.72635,18.31712,0
-64.72537,18.3147,0
-64.72382,18.36742,0
-64.7231,18.3127,0
-64.72296,18.36764,0
-64.72294,18.3088,0
-64.7229,18.31196,0
-64.72206,18.31286,0
-64.72117,18.31419,0
-64.72079,18.36804,0
-64.71889,18.30949,0
-64.71888,18.30997,0
-64.71689,18.31061,0
-64.71651,18.30904,0
-64.71478,18.30749,0
-64.71425,18.30641,0
-64.71418,18.3078,0
-64.71329,18.30874,0
-64.71267,18.30588,0
-64.71137,18.30307,0
-64.71038,18.30292,0
-64.71031,18.30278,0
-64.70679,18.30689,0
-64.70678,18.30748,0
-64.70608,18.36433,0
-64.7058,18.30392,0
-64.70542,18.36408,0
-64.70506,18.29861,0
-64.70371,18.30254,0
-64.70362,18.29941,0
-64.70361,18.33867,0
-64.70219,18.3375,0
-64.7021,18.3108,0
-64.70175,18.33759,0
-64.70135,18.31102,0
-64.70135,18.31223,0
-64.7012,18.3447,0
-64.7008,18.3111,0
-64.70025,18.34561,0
-64.70017,18.30858,0
-64.7001,18.3509,0
-64.69978,18.3161,0
-64.6997,18.33553,0
-64.69962,18.31524,0
-64.69944,18.30803,0
-64.69934,18.31763,0
-64.69918,18.30179,0
-64.6985,18.3153,0
-64.69778,18.31826,0
-64.69774,18.31811,0
-64.69772,18.33213,0
-64.6977,18.3266,0
-64.6973,18.3172,0
-64.69726,18.31521,0
-64.69691,18.32447,0
-64.69664,18.31862,0
-64.6965,18.35,0
-64.6963,18.3233,0
-64.69564,18.35086,0
-64.69423,18.3287,0
-64.6937,18.33,0
-64.69297,18.33645,0
-64.69214,18.30668,0
-64.69182,18.30716,0
-64.6918,18.3173,0
-64.69152,18.31579,0
-64.6898,18.3047,0
-64.68962,18.33907,0
-64.68923,18.30485,0
-64.6892,18.3144,0
-64.6892,18.337,0
-64.68872,18.34126,0
-64.68743,18.31315,0
-64.68695,18.31772,0
-64.68679,18.35828,0
-64.68675,18.35788,0
-64.68662,18.31659,0
-64.6865,18.3569,0
-64.68629,18.30677,0
-64.68622,18.35779,0
-64.6861,18.31804,0
-64.68601,18.31828,0
-64.68594,18.31498,0
-64.68591,18.35913,0
-64.68576,18.30642,0
-64.68539,18.35519,0
-64.68472,18.35394,0
-64.6847,18.3171,0
-64.6847,18.3539,0
-64.68392,18.34059,0
-64.682,18.34443,0
-64.68184,18.3364,0
-64.68153,18.34309,0
-64.6806,18.3357,0
-64.68047,18.32648,0
-64.68,18.353,0
-64.6798,18.3508,0
-64.6795,18.35064,0
-64.67937,18.35226,0
-64.67902,18.33056,0
-64.67879,18.33121,0
-64.6787,18.32475,0
-64.67822,18.32608,0
-64.6782,18.3425,0
-64.67698,18.34178,0
-64.67649,18.33153,0
-64.67648,18.32342,0
-64.67646,18.34322,0
-64.6762,18.3302,0
-64.67583,18.32393,0
-64.67579,18.32945,0
-64.6745,18.3307,0
-64.67303,18.32899,0
-64.6718,18.3519,0
-64.67168,18.35195,0
-64.67122,18.35047,0
-64.67107,18.35225,0
-64.66938,18.35032,0
-64.66895,18.3295,0
-64.66849,18.34894,0
-64.66833,18.3485,0
-64.66808,18.33237,0
-64.66801,18.33375,0
-64.6674,18.34777,0
-64.66368,18.34632,0
-64.66337,18.33444,0
-64.66308,18.3458,0
-64.6625,18.3538,0
-64.66222,18.33637,0
-64.66144,18.35756,0
-64.6614,18.3452,0
-64.66126,18.33419,0
-64.66124,18.35554,0
-64.6606,18.3488,0
-64.66055,18.34988,0
-64.6595,18.3389,0
-64.65921,18.33355,0
-64.65877,18.33448,0
-64.23,-42.26,0
-48.52417,-27.12222,1
-48.52111,-27.11778,1
-48.51361,-27.11806,1
-48.46837,-27.69803,0
-48.46739,-27.69045,0
-48.432,-27.8455,0
-48.3991,-27.17457,0
-48.38758,-27.60351,0
-48.37246,-27.27833,1
-48.36848,-27.27704,1
-48.36701,-27.29061,1
-48.36381,-27.29061,1
-48.36381,-27.28436,1
-48.36104,-27.29822,0
-48.33167,-27.26447,1
-48.19529,-23.02797,0
-46.17621,-24.31684,1
-45.702491,-24.105182,1
-45.698116,-24.100227,1
-45.693289,-24.095842,1
-45.688487,-24.097748,1
-45.39389,-23.83033,0
-45.33633,-23.92008,0
-45.28362,-23.93538,0
-45.24399,-23.8933,1
-45.15812,-23.80578,0
-44.5462,-23.0478,0
-44.50623,-23.29072,0
-44.42097,-23.00038,0
-44.42077,-23.0595,0
-44.40683,-23.09807,0
-44.3789,-23.03185,0
-44.37268,-23.16732,0
-44.36253,-23.0711,0
-44.3264,-23.13742,0
-44.31535,-23.1926,0
-44.31005,-23.08497,0
-44.297,-23.11333,0
-44.27903,-0.8703,1
-44.264283,-0.869867,1
-44.26428,-0.869867,0
-44.25583,-23.20417,0
-44.25333,-23.07,0
-44.22465,-23.07855,0
-44.21378,-23.04687,0
-44.19072,-23.10203,0
-44.18213,-23.19038,0
-44.15007,-23.22123,0
-44.15003,-23.168,0
-44.14768,-23.12457,0
-44.13997,-23.04335,0
-44.09902,-23.16378,0
-42.01305,-22.99786,1
-42.00801,-23.00638,0
-42.00686,-23.01011,0
-42.00413,-22.96988,0
-42.00166,-22.96514,1
-41.99878,-22.99111,1
-41.99416,-22.96839,1
-41.99372,-22.96573,1
-41.99264,-22.98628,1
-41.98448,-22.98048,1
-41.97975,-22.9782,1
-40.40759,-20.69963,1
-40.37878,-20.61235,0
-40.36616,-20.67661,0
-40.27839,-20.36322,0
-38.71583,-17.97056,0
-38.69778,-17.96139,1
-38.69528,-17.96472,0
-38.6625,-17.96278,0
-38.64133,-13.12917,1
-38.62637,-12.80916,1
-38.57166,-12.81472,0
-38.5491,-12.83708,1
-38.53083,-13.00833,0
-38.529,-12.87,1
-38.5253,-12.83345,0
-38.51111,-12.9386,1
-38.40838,-3.5683,1
-38.39165,-3.598067,0
-38.38077,-3.5736,0
-38.37183,-3.598983,0
-35.36343,-5.262117,0
-35.25899,-5.394114,1
-35.19274,-9.032689,0
-35.19149,-9.024256,1
-35.18063,-8.9985,0
-35.10949,-5.980833,1
-35.09007,-5.564467,1
-35.08872,-8.725206,0
-35.08771,-8.761792,0
-35.0725,-5.56435,1
-35.07142,-5.591367,0
-35.04745,-5.9268,0
-35.03928,-5.956183,1
-35.03718,-5.950039,0
-35.03442,-6.000694,0
-33.87252,-3.798292,1
-33.82062,-3.857917,0
-33.81884,-3.860347,0
-33.81805,-3.859675,0
-33.81777,-3.866636,0
-33.81225,-3.872956,0
-33.80944,-3.874725,0
-33.80944,-3.872986,1
-33.80355,-3.875172,1
-33.79379,-3.862211,0
-33.79191,-3.86895,0
-32.44599,-3.854376,1
-32.44057,-3.846539,1
-32.42278,-3.86684,0
-32.41496,-3.83904,1
-32.40364,-3.836316,0
-32.39484,-3.834419,1
-32.39059,-3.817208,1
-32.39017,-3.814548,1
-29.34572,-20.50245,1
-29.34517,0.9163356,0
-29.3449,-20.5001,1
-29.34434,-20.5028,1
-29.3431,-20.49248,1
-29.34303,0.918769,0
-29.34061,-20.51461,1
-29.33862,-20.48861,1
-29.33302,-20.48823,1
-29.33199,-20.52273,1
-29.32957,-20.49204,1
-29.321,-20.499,1
-29.32063,-20.52482,1
-29.31739,-20.50491,1
-29.31029,-20.50746,1
-29.30458,-20.52759,1
-29.30109,-20.52777,1
-29.30096,-20.51711,1
-29.29819,-20.51772,1
-91.998034,1.677313,0
-91.81558333,1.38322167,0
-91.658614,-0.313152,0
-91.54311833,-0.04728667,0
-91.40879625,-0.266234,0
-91.35850333,-0.33561833,0
-91.33224833,-0.704675,0
-90.56792,-0.26027167,0
-90.48025667,-1.25002667,0
-90.4493475,0.2975775,0
-90.40029429,-1.23585,0
-89.95888667,0.31645333,0
-89.7981,22.3625,0
-89.64500143,-1.35407571,0
-88.61666667,15.95,0
-88.08408245,16.79383979,0
-88.066167,16.868278,0
-87.94246,17.65275,0
-87.833,18.2667,0
-87.75413142,18.50682963,0
-87.62361111,18.90333333,0
-87.53694444,19.1375,0
-87.46555556,19.7675,0
-87.46509155,20.02743874,0
-87.44999901,19.28330204,0
-87.3159,20.395975,0
-87.07120833,20.60483334,0
-87.0606367,5.53816651,0
-86.96669942,20.73329968,0
-86.86666667,20.86027778,0
-86.80000174,21.03329941,0
-86.46666667,15.96666667,0
-86.1883333,11.5143518,0
-86.01393945,11.36438545,0
-85.90592083,11.27735,0
-85.84619941,11.20304707,0
-85.79266771,11.12037824,0
-85.48751714,9.85992,0
-85.398855,9.84567,0
-85.2875425,9.7744475,0
-84.3079,20.64031667,0
-83.87923667,8.71126,0
-83.7266,8.657565,0
-82.89369333,24.61795,0
-82.767075,14.37351389,0
-82.44019,7.8702,0
-82.33791025,9.2644635,0
-82.286685,8.1065325,0
-82.270635,9.33731383,0
-82.24708889,7.47053333,0
-82.110842,9.25965233,0
-82.03531073,7.96848337,0
-81.89210833,7.50280833,0
-81.85032666,7.56495,0
-81.83806666,7.41895835,0
-81.80946328,7.24386833,0
-81.79521,7.86371429,0
-81.7556519,7.81255904,0
-81.745,12.4953,0
-81.72822519,7.63235963,0
-81.701392,12.571874,0
-81.69527492,7.31259083,0
-81.67739166,7.40988333,0
-81.62448667,7.69432417,0
-81.60645166,4.00200894,0
-81.59093,7.34713,0
-81.41093,13.3607575,0
-81.40894167,24.54436233,0
-81.38695,19.3066,0
-81.36703429,13.40831,0
-81.1068178,24.6262918,0
-81.06159405,-1.27161024,0
-81.00613117,24.69061333,0
-80.85497222,-1.62163667,0
-80.80014567,-1.49205267,0
-80.24021333,14.35939667,0
-80.22984333,14.44443333,0
-79.53912667,8.7717,0
-79.305925,25.69951666,0
-79.21141667,25.36382778,0
-79.09891,8.4158975,0
-79.09576286,8.28733143,0
-79.05383333,8.65976,0
-79.01181667,8.54341,0
-79.00125,20.835235,0
-78.91944,8.48361,0
-78.91500833,9.571655,0
-78.8614675,20.7621125,0
-78.826954,8.414694,0
-72.1848095,21.8158395,0
-69.16,12.38,0
-69.095,12.23,0
-68.975,12.125,0
-68.845,12.06,0
-68.32372233,12.20844767,0
-68.287655,12.11259033,0
-68.2680708,12.0457604,0
-64.8104,18.3395,0
-48.51963,-27.11935333,1
-48.467878,-27.694236,0
-48.431996,-27.845503,0
-48.399104,-27.17457,0
-48.387576,-27.603507,0
-48.35749425,-27.28101187,1
-46.176212,-24.316838,1
-44.398,-23.05218,0
-44.33814444,-23.16577778,0
-44.25976333,-23.07874333,0
-44.15945556,-23.08998333,0
-44.1453125,-23.18585,0
-43.206103,-23.031915,0
-41.9979316,-22.98359724,1
-40.393183,-20.6559895,0
-40.278388,-20.363218,0
-39.028083,-17.47842,1
-38.97937467,-17.67697167,1
-38.69284722,-17.96486111,1
-38.67979667,-17.97157933,0
-38.626367,-12.80916,1
-38.5286275,-12.8697825,1
-33.81529,-3.860897,1
-32.41349525,-3.838463,1
-29.34455129,0.91807997,0
-29.32270745,-20.50764409,1
-74.51666667,11.11666667,0
-74.4,11.35,0
-74.33333333,11.43333333,0
-74.31666667,11.48333333,0
-74.33333333,11.51666667,0
-38.38315,-3.57915,0
-48.36666667,-25.73333333,0
-48.4,-25.83333333,1
-48.48333333,-26.16666667,1
-43.15,-22.95,0
-92.63333333,20.35,0
-74.23333333,11.23333333,0
-74.2,11.26666667,0
-74.2,11.31666667,0
-74.13333333,11.31666667,0
-74.05,11.33333333,0
-29.33333333,-20.5,1
-32.41666667,-3.833333333,1
-46.16666667,-24.25,1
-42,-23.73333333,0
-29.33333333,-20.5,0
